datecollected,plot,sex,weight,species,scalecalibrated
7/16/13,2,F,NULL,DM,1
7/16/13,7,M,33,DM,1
7/16/13,3,M,NULL,DM,1
7/16/13,1,M,NULL,DM,1
7/18/13,3,M,40,DM,1
7/18/13,7,M,48,DM,1
7/18/13,4,F,29,DM,1
7/18/13,4,F,46,DM,1
7/18/13,7,M,36,DM,1
7/18/13,7,F,35,DM,1
7/18/13,8,F,22,DM,1
7/18/13,7,F,42,DM,1
7/18/13,4,F,41,DM,1
7/18/13,6,F,37,DM,1
8/19/13,8,F,52,DO,1
10/17/13,3,F,33,DO,1
10/17/13,3,F,50,DO,1
10/17/13,17,F,48,DO,1
10/17/13,17,F,31,DO,1
10/18/13,8,F,41,DO,1
11/12/13,1,F,44,DO,1
11/12/13,1,M,48,DO,1
11/14/13,8,F,39,DO,1
12/10/13,9,F,40,DO,1
12/10/13,1,M,45,DO,1
12/11/13,8,F,41,DO,1
11/12/13,9,F,117,DS,1
11/12/13,1,F,121,DS,1
11/12/13,20,M,115,DS,1
11/12/13,9,F,120,DS,1
11/13/13,17,F,118,DS,1
11/13/13,11,F,126,DS,1
11/13/13,17,M,132,DS,0
11/13/13,14,F,113,DS,0
11/13/13,11,F,122,DS,1
11/13/13,4,F,107,DS,1
11/13/13,4,F,115,DS,1
1/9/14,1,M,40,DM,1
1/9/14,1,F,36,DM,1
1/9/14,1,F,135,DS,1
1/20/14,1,F,39,DM,1
1/20/14,1,M,43,DM,1
1/20/14,1,F,144,DS,1
3/13/14,1,F,51,DM,1
3/13/14,1,F,44,DM,1
3/13/14,1,F,146,DS,1
1/8/14,2,NULL,NULL,NA,1
1/8/14,2,M,44,DM,1
1/8/14,2,M,38,DM,1
1/8/14,2,NULL,NULL,OL,1
1/8/14,2,M,22,PE,1
1/8/14,2,M,38,DM,1
1/8/14,2,M,48,DM,1
1/8/14,2,M,43,DM,1
1/8/14,2,F,35,DM,1
1/8/14,2,M,43,DM,1
1/8/14,2,F,37,DM,1
1/8/14,2,F,7,PF,1
1/8/14,2,M,45,DM,1
1/8/14,2,NULL,NULL,OT,1
1/8/14,2,M,157,DS,0
1/8/14,2,NULL,NULL,OX,1
2/18/14,2,M,218,NA,0
2/18/14,2,F,7,PF,1
2/18/14,2,M,52,DM,1
1/8/15,3,M,24,PF,1
2/18/15,3,M,23,OT,1
2/18/15,3,F,232,OT,1
3/11/15,3,M,22,NA,1
3/11/15,3,F,26,OT,1
3/11/15,3,M,8,OT,1
3/11/15,3,M,NULL,PF,1
4/8/15,3,F,NULL,NA,1
5/6/15,3,NULL,182,NULL,1
5/18/15,3,F,29,NA,1
6/9/15,3,F,115,OT,1
7/8/15,3,F,190,NA,1
7/8/15,3,M,37,NA,1
1/8/78,4,F,128,DM,1
1/8/78,4,F,42,DS,1
1/8/78,4,M,37,DM,1
1/8/78,4,M,NULL,DM,1
1/8/78,4,M,48,DM,1
1/8/78,4,F,45,DM,1
1/8/78,4,M,42,DM,1
1/8/78,4,F,52,DM,1
1/8/78,4,M,35,DO,1
1/8/78,4,M,NULL,OL,1