SpCode	Name	Author	Synonym	Family	Habit	Pheno	WGEnd
Abruprec	Abrus precatorius	L.	NA	Connaraceae	L	D	0
Acacauri	Acacia auriculiformis	A. Cunn. ex Benth	NA	Fabaceae	T2	E	0
Acaccaes	Acacia caesia	(L.) Willd.	NA	Fabaceae	L	E	0
Acaccate	Acacia catechu	Willd.	NA	Fabaceae	T1	D	0
Acacchun	Acacia chundra	(Rottl.) Willd.	NA	Fabaceae	T1	D	0
Acacleuc	Acacia leucophloea	Willd	NA	Fabaceae	T2	D	0
Acacpenn	Acacia pennata	Willd.	NA	Fabaceae	L	E	0
Acacsinu	Acacia sinuata	(Lour.)Merr.	NA	Fabaceae	L	D	0
Acactort	Acacia torta	Craib	NA	Fabaceae	S	E	0
Acrofrax	Acrocarpus fraxinifolius	Wt.	NA	Fabaceae	T5	E	0
Actiangu	Actinodaphne angustifolia	(Blume) Nees	NA	Lauraceae	T2	E	1
Actibour	Actinodaphne bourdillonii	Gamble	NA	Lauraceae	T2	E	1
Actimala	Actinodaphne malabarica	Balak.	NA	Lauraceae	T2	E	1
Actitadu	Actinodaphne tadulingami	Gamble	NA	Lauraceae	T2	E	1
Aeglmarm	Aegle marmelos	L.	NA	Rutaceae	T2	D	0
Aglabarb	Aglaia barberi	Gamble	NA	Meliaceae	T3	E	1
Aglaelae	Aglaia elaeagnoidea	(Juss.) Benth.	NA	Meliaceae	T2	E	0
Aglajain	Aglaia jainii	Viswa. & Ramachan.	Amoora canarana	Meliaceae	T4	E	1
Aglalawi	Aglaia lawii	(Wt.) Saldanha	Amoora lawii	Meliaceae	T3	E	1
Agroindi	Agrostistachys indica	Dalz.	NA	Euphorbiaceae	T1	E	0
Ailaexce	Ailanthus excelsa	Roxb.	NA	Simarubaceae	T2	D	0
Ailatrip	Ailanthus triphysa	(Dennst.) Alston	NA	Simarubaceae	T4	D	0
Alansalv	Alangium salvifolium	(L.f.) Wang	NA	Alangiaceae	L	E	0
Albiamar	Albizia amara	Boiv.	NA	Fabaceae	T2	D	0
Albichin	Albizia chinensis	(Osb.)  Merrill	NA	Fabaceae	T3	D	0
Albilebb	Albizia lebbeck	(L.) Willd.	NA	Fabaceae	T3	D	0
Albiodor	Albizia odoratissima	(L. f.) Benth.	NA	Fabaceae	T2	D	0
Albiproc	Albizia procera	(Roxb.) Benth.	NA	Fabaceae	T2	D	0
Allocobb	Allophylus cobbe	(L.) Raeusch	NA	Sapindaceae	T1	E	0
Alseseme	Alseodaphne semecarpifolia	Nees	NA	Lauraceae	T1	E	0
Alstscho	Alstonia scholaris	(L.) R. Br.	NA	Apocynaceae	T4	E	0
Anciheyn	Ancistrocladus heyneanus	Wall.	NA	Ancistrocladaceae	L	E	0
Annoreti	Annona reticulata	L.	NA	Annonaceae	T1	E	0
Anoglati	Anogeissus latifolia	(Roxb.ex DC) Wall ex Guill. & Perr.	NA	Combretaceae	T3	D	0
Antimena	Antidesma menasu	Miq. ex Tul.	NA	Euphorbiaceae	T1	E	0
Antitoxi	Antiaris toxicaria	Lesch.	NA	Moraceae	T4	E	0
Aphacusp	Aphananthe cuspidata	(Blume) Planch.	NA	Ulmaceae	T3	E	0
Aphapoly	Aphanamixis polystachya	(Wall.) Parker	NA	Meliaceae	T3	E	0
Apoddimi	Apodytes dimidiata	E. Meyer ex Arn.	NA	Icacinaceae	T4	E	0
Aporlind	Aporosa lindleyana	Baill.	NA	Euphorbiaceae	T2	E	0
Archmona	Archidendron monadelphum	(Roxb.) Nielson	NA	Fabaceae	T2	E	0
Ardipauc	Ardisia pauciflora	Heyne	NA	Myrsinaceae	T1	E	0
Ardisola	Ardisia solanacea	Roxb.	NA	Myrsinaceae	T1	E	0
Arenwigh	Arenga wightii	Griff.	NA	Arecaceae	T1	E	1
Artazeyl	Artabotrys zeylanicus	J.Hk. & Thoms	NA	Annonaceae	L	E	0
Artogome	Artocarpus gomezianus	Wall ex Trecul	NA	Moraceae	T4	D	0
Artohete	Artocarpus heterophyllus	Lam.	NA	Moraceae	T3	E	0
Artohirs	Artocarpus hirsutus	Lam.	NA	Moraceae	T4	E	1
Asparace	Asparagus racemosus	Willd.	NA	Liliaceae	L	E	0
Atalwigh	Atalantia wightii	Tanaka	NA	Rutaceae	T1	E	1
Azadindi	Azadirachta indica	A. Juss.	NA	Meliaceae	T2	E	0
Bambarun	Bambusa arundinacea	(Retz.) Willd.	NA	Poaceae	T1	D	0
Bauhfove	Bauhinia foveolata	Dalz.	NA	Fabaceae	T4	D	1
Bauhmala	Bauhinia malabarica	Roxb	NA	Fabaceae	T2	E	0
Bauhphoe	Bauhinia phoenicea	Wt. & Arn.	NA	Fabaceae	L	E	0
Bauhrace	Bauhinia racemosa	Lam	NA	Fabaceae	T1	D	0
Beildalz	Beilschmiedia dalzellii	(Meissn.) Kosterm.	NA	Lauraceae	T3	E	1
Beilwigh	Beilschmiedia wightii	(Nees) Benth. ex J. Hk.	NA	Lauraceae	T3	E	1
Biscjava	Bischofia javanica	Blume	NA	Euphorbiaceae	T4	E	0
Blacdenu	Blachia denudata	Benth.	NA	Euphorbiaceae	T1	E	1
Bombceib	Bombax ceiba	L.	NA	Bombacaceae	T4	D	0
Boswserr	Boswellia serrata	Roxb.	NA	Burseraceae	T2	D	0
Breyrham	Breynia rhamnoides	 M. Arg.	NA	Euphorbiaceae	S	E	0
Bridcren	Bridelia crenulata	Roxb.	NA	Euphorbiaceae	T2	D	0
Bridscan	Bridelia scandens	(Roxb.) Willd.	NA	Euphorbiaceae	L	D	0
Buchlanz	Buchanania lanzan	Spreng.	NA	Anacardiaceae	T1	D	0
Butemono	Butea monosperma	(Lam.) Taub.	NA	Fabaceae	T1	D	0
Buteparv	Butea parviflora	Roxb.	NA	Fabaceae	L	E	0
Caescris	Caesalpinia crista	L.	NA	Fabaceae	L	E	0
Calasp.	Calamus sp.	NA	NA	Arecaceae	L	E	0
Calltome	Callicarpa tomentosa	(L.) Murr.	NA	Verbenaceae	T1	E	0
Caloapet	Calophyllum apetalum	Willd.	NA	Clusiaceae	T4	E	1
Calopoly	Calophyllum polyanthum	Wall. ex Chioisy	NA	Clusiaceae	T4	E	0
Calyflor	Calycopteris floribunda	Lam.	NA	Combretaceae	L	D	0
Canastri	Canarium strictum	Roxb.	NA	Burseraceae	T3	E	0
Cantangu	Canthium angustifolium	Roxb.	NA	Rubiaceae	L	E	0
Cantdico	Canthium dicoccum	(Gaertn.) Teissm.	NA	Rubiaceae	T2	E	0
Cantparv	Canthium parviflorum	Lamk.	NA	Rubiaceae	T1	E	0
Cappheyn	Capparis heyneana	Wall.	NA	Capparidaceae	L	E	0
Capprhee	Capparis rheedii	DC.	NA	Capparidaceae	L	E	1
Carabrac	Carallia brachiata	(Lour.) Merr.	NA	Rhizophoraceae	T3	E	0
Carearbo	Careya arborea	Roxb.	NA	Lecythidaceae	T2	D	0
Caricara	Carissa carandas	L.	NA	Apocynaceae	L	E	0
Cariiner	Carissa inermis	Vahl.	NA	Apocynaceae	L	E	0
Caryuren	Caryota urens	L.	NA	Arecaceae	T2	E	0
Casecham	Casearia championii	Thwaites	NA	Flacourtiaceae	T1	E	1
Caseovat	Casearia ovata	(Lam.) Willd.	NA	Flacourtiaceae	T3	E	0
Caserube	Casearia rubens	Dalz.	NA	Flacourtiaceae	T2	E	1
Casetome	Casearia tomentosa	Roxb.	Casearia elliptica	Flacourtiaceae	T1	D	0
Casewyna	Casearia wynadensis	Bedd.	NA	Flacourtiaceae	T1	E	1
Casnglau	Cassine glauca	(Rottl.) Kuntze	NA	Celastraceae	T3	E	0
Cassfist	Cassia fistula	L.	NA	Fabaceae	T1	D	0
Cassglau	Cassia glauca	Lam.	NA	Fabaceae	T1	D	0
Casssiam	Cassia siamea	Lam.	NA	Fabaceae	T2	D	0
Catudume	Catunaregam dumetorum	(Retz.)Tirven.	NA	Rubiaceae	T1	D	0
Cayrjapo	Cayratia japonica	(Thunb.) Gagnep.	NA	Vitaceae	L	E	0
Celapani	Celastrus paniculatus	Willd.	NA	Celastraceae	L	E	0
Celtphil	Celtis philippensis	Blanco	NA	Ulmaceae	T1	E	0
Celttetr	Celtis tetrandra	Roxb.	NA	Ulmaceae	T3	E	0
Chiomala	Chionanthus malabaricus	(Wall. ex G. Don) Bedd.	NA	Oleaceae	T1	E	0
Chloswie	Chloroxylon swietenia	DC.	NA	Meliaceae	T1	D	0
Chrylanc	Chrysophyllum lanceolatum	(Blume) DC.	NA	Sapotaceae	T4	E	0
Chuktabu	Chukrasia tabularis	A. Juss.	NA	Meliaceae	T3	D	0
Cinnkera	Cinnamomum keralaense	Kosterm.	NA	Lauraceae	T3	E	1
Cinnmala	Cinnamomum malabathrum	(Burm. f.) Blume	NA	Lauraceae	T2	E	1
Cinnveru	Cinnamomum verum	J.S. Presl	NA	Lauraceae	T2	E	0
Cipabacc	Cipadessa baccifera	(Roth.) Miq.	NA	Meliaceae	S	E	0
Cissgiga	Cissus gigantea	Bedel	NA	Vitaceae	L	E	0
Cissrepa	Cissus repanda	Vahl.	NA	Vitaceae	L	E	0
Cisssp.	Cissus sp.	NA	NA	Vitaceae	L	E	0
Clauanis	Clausea anisata	(Willd.) J. Hk. ex Benth.	Clausena dentata	Rutaceae	T1	E	0
Clauindi	Clausena indica	Oliver	NA	Rutaceae	T1	E	0
Cleimala	Cleistanthus malabaricus	M. Arg.	NA	Euphorbiaceae	T1	E	1
Cleispic	Cleidion spiciflorum	(Burm. f.) Merr.	NA	Euphorbiaceae	T2	E	0
Clemgour	Clematis gouriana	Roxb.	NA	Ranunculaceae	L	D	0
Clervisc	Clerodendron viscosum	Vent.	NA	Verbenaceae	T1	E	0
Cocchirs	Cocculus hirsutus	(L.) Diels	NA	Menispermaceae	L	E	0
Coleoppo	Colebrookea oppositifolia	J.E. Smith	NA	Lamiaceae	S	E	0
Comblati	Combretum latifolium	Blume	NA	Combretaceae	L	E	0
Connritc	Connarus ritchiei	J. Hk.	NA	Connaraceae	L	E	0
Connwigh	Connarus wightii	Hook.	NA	Connaraceae	L	E	0
Corddich	Cordia dichotoma	Forst.	NA	Boraginaceae	T1	D	0
Cordmacl	Cordia macleodii	(Griff.) Hook.	NA	Boraginaceae	T1	D	0
Cordwall	Cordia wallichii	G. Don	NA	Boraginaceae	T1	D	0
Coryumbr	Corypha umbraculifera	Linn.	NA	Araceae	T3	E	0
Crotgibs	Croton gibsonianus	Nimmo	NA	Euphorbiaceae	T1	E	0
Crypneil	Cryptocarya neilgherrensis	Meissn.	NA	Lauraceae	T2	E	0
Crypwigh	Cryptocarya wightiana	Thw.	Cryptocarya bourdillonii	Lauraceae	T3	E	1
Cyatzeyl	Cyathocalyx zeylanicus	Champ. ex J. Hk. & Th.	NA	Annonaceae	T2	E	0
Cyclpelt	Cyclea peltata	(Lam.) J.Hk. & Thoms	NA	Menispermaceae	L	E	0
Dalbhorr	Dalbergia horrida	(Dennst.) Mabberley	NA	Fabaceae	L	D	0
Dalblati	Dalbergia latifolia	Roxb.	NA	Fabaceae	T3	D	0
Dalbpani	Dalbergia paniculata	Roxb.	NA	Fabaceae	T3	D	0
Debrlong	Debregeasia longifolia	(N. Burman) Wedd.	NA	Urticaceae	T1	E	0
Derrscan	Derris scandens	(Roxb.) Benth.	NA	Fabaceae	L	E	0
Desmlawi	Desmos lawii	(J. Hk. & Th.) Safford.	NA	Annonaceae	L	E	0
Desmpulc	Desmodium pulchellum	(L.) Benth.	NA	Fabaceae	S	D	0
Dichgelo	Dichapetalum gelonioides	(Roxb.) Engl.	NA	Dichapetalaceae	T1	E	0
Dillpent	Dillenia pentagyna	Roxb.	NA	Dilleniaceae	T3	D	0
Dimolawi	Dimorphocalyx lawianus	J. Hk.	NA	Euphorbiaceae	T1	E	1
Dimolong	Dimocarpus longan	Lour.	NA	Sapindaceae	T4	E	0
Diosangu	Diospyros angustifolia	(Miq.) Kosterm.	NA	Ebenaceae	T2	E	1
Diosassi	Diospyros assimilis	Bedd.	NA	Ebenaceae	T4	E	1
Diosbuxi	Diospyros buxifolia	(Bl.) Hiern	NA	Ebenaceae	T4	E	0
Dioscand	Diospyros candolleana	Wt.	NA	Ebenaceae	T3	E	1
Dioscrum	Diospyros crumenata	Thw.	NA	Ebenaceae	T2	E	0
Diosghat	Diospyros ghatensis	Ramesh & De Franceschi	NA	Ebenaceae	T4	E	1
Diosmala	Diospyros malabarica	(Desr.) Kostel.	NA	Ebenaceae	T2	E	0
Diosmela	Diospyros melanoxylon	Roxb.	NA	Ebenaceae	T2	D	0
Diosmont	Diospyros montana	Roxb.	NA	Ebenaceae	T2	D	0
Diosooca	Diospyros oocarpa	Thw.	NA	Ebenaceae	T3	E	0
Diospani	Diospyros paniculata	Dalz.	NA	Ebenaceae	T2	E	1
Diospyrr	Diospyros pyrrhocarpoides	Ramesh & De Franceschi	NA	Ebenaceae	T2	E	0
Diossald	Diospyros saldanhae	Kosterm.	NA	Ebenaceae	T2	E	1
Diossylv	Diospyros sylvatica	Roxb.	NA	Ebenaceae	T4	E	0
Diplglau	Diploclisia glaucescens	(Bl.) Diels	NA	Menispermaceae	L	E	0
Diptindi	Dipterocarpus indicus	Bedd.	NA	Dipterocarpaceae	T5	E	1
Dodovisc	Dodonaea viscosa	(L.)Jacq	NA	Sapindaceae	S	E	0
Doliatro	Dolichandrone atrovirens	Sprague	NA	Berberidaceae	T1	D	0
Dolifalc	Dolichandrone falcata	Seem.	NA	Berberidaceae	T1	D	0
Drypconf	Drypetes confertiflorus	(J. Hk.) Pax & Hoffm.	NA	Euphorbiaceae	T3	E	1
Drypoblo	Drypetes oblongifolia	(Bedd.) Airy Shaw	NA	Euphorbiaceae	T2	E	1
Drypvenu	Drypetes venusta	(Wt.) Pax & Hoffm.	NA	Euphorbiaceae	T3	E	1
Dysobine	Dysoxylum binectariferum	J. Hk. ex Bedd.	Ecbolium linneanum	Meliaceae	T3	E	0
Dysomala	Dysoxylum malabaricum	Bedd. ex Hiern.	NA	Meliaceae	T4	E	1
Ehrelaev	Ehretia laevis	Roxb.	NA	Boraginaceae	T1	E	0
Elaekolo	Elaeagnus kologa	Schlecht.	NA	Elaeagnaceae	L	E	0
Elaemunr	Elaeocarpus munronii	(Wt.) Mast.	NA	Elaeocarpaceae	T2	E	1
Elaeserr	Elaeocarpus serratus	L.	NA	Elaeocarpaceae	T3	E	0
Elaetect	Elaeocarpus tectorius	(Lour.) Poir.	NA	Elaeocarpaceae	T3	E	0
Elaetube	Elaeocarpus tuberculatus	Roxb.	NA	Elaeocarpaceae	T4	E	0
Emberibe	Embelia ribes	N.Burman	NA	Myrsinaceae	L	E	0
Embloffi	Emblica officinalis	Gaertn.	NA	Euphorbiaceae	T1	D	0
Entapurs	Entada pursaetha	DC	NA	Fabaceae	L	E	0
Epipmall	Epiprinus mallotiformis	(M. Arg.) Croizat.	NA	Euphorbiaceae	T3	E	0
Erytstri	Erythrina stricta	Roxb.	NA	Fabaceae	T2	E	0
Eucaglob	Eucalyptus globulus	Labill.	NA	Myrtaceae	T3	E	0
Eugemacr	Eugenia macrosepala	Duthie	NA	Myrtaceae	T2	E	0
Eugethwa	Eugenia thwaitesii	Duthie	Eugenia moonina	Myrtaceae	T2	E	0
Euodlunu	Euodia lunu-ankenda	(Gaertn.) Merr.	NA	Rutaceae	T2	E	0
Euonindi	Euonymus indicus	Heyne ex Wall.	NA	Celastraceae	T1	E	1
Euryjapo	Eurya japonica	Thunb.	NA	Theaceae	T1	E	0
Fagrceil	Fagraea ceilanica	Thunb.	NA	Loganiaceae	T1	E	0
Fahrzeyl	Fahrenheitia zeylanica	(Thw.) Airy Shaw	NA	Euphorbiaceae	T3	E	0
Ficuampl	Ficus amplissima	J. E. Sm.	NA	Moraceae	T2	E	0
Ficuarno	Ficus arnottiana	Miq.	NA	Moraceae	T2	D	0
Ficubedd	Ficus beddomei	King	NA	Moraceae	T4	E	1
Ficubeng	Ficus benghalensis	L.	NA	Moraceae	T3	E	0
Ficucall	Ficus callosa	Willd.	NA	Moraceae	T3	E	0
Ficudrup	Ficus drupacea	Thunb.	NA	Moraceae	T3	E	0
Ficuexas	Ficus exasperata	Vahl.	NA	Moraceae	T2	E	0
Ficugibb	Ficus gibbosa	Bl.	NA	Moraceae	T1	E	0
Ficuhisp	Ficus hispida	L. f.	NA	Moraceae	T1	E	0
Ficumicr	Ficus microcarpa	L. f.	NA	Moraceae	T3	E	0
Ficunerv	Ficus nervosa	Roth	NA	Moraceae	T4	E	0
Ficurace	Ficus racemosa	L.	NA	Moraceae	T2	E	0
Ficureli	Ficus religiosa	L.	NA	Moraceae	T2	D	0
Ficutalb	Ficus talbotii	Heyne ex Roth	NA	Moraceae	T3	E	0
Ficutsja	Ficus tsjahela	N. Burman	NA	Moraceae	T3	D	0
Ficuvire	Ficus virens	Ait.	NA	Moraceae	T4	E	0
Flacindi	Flacourtia indica	(Burm. f ) Merr.	NA	Flacourtiaceae	T1	E	0
Flacmont	Flacourtia montana	Grah.	NA	Flacourtiaceae	T1	E	1
Flemmacr	Flemingia macrophylla	(Willd.) Merr.	NA	Fabaceae	S	D	0
Garcgumm	Garcinia gummiNAgutta	(L.) Robson	NA	Clusiaceae	T2	E	1
Garcindi	Garcinia indica	(Thouras) Choisy	NA	Clusiaceae	T2	E	1
Garcmore	Garcinia morella	(Gaertn.) Merr.	NA	Clusiaceae	T2	E	0
Garcpict	Garcinia pictorius	(Roxb.) DArcy	NA	Clusiaceae	T2	E	0
Garctalb	Garcinia talbotii	Raiz. & Sant.	NA	Clusiaceae	T3	E	1
Gardgumm	Gardenia gummifera	L.f.	NA	Rubiaceae	T1	E	0
Gardlati	Gardenia latifolia	Aiton	NA	Rubiaceae	T1	E	0
Gardresi	Gardenia resinifera	Roth.	NA	Rubiaceae	T1	E	0
Garupinn	Garuga pinnata	Roxb.	NA	Burseraceae	T3	E	0
Givorott	Givotia rottleriformis	Griff.	NA	Euphorbiaceae	T2	D	0
Glocelli	Glochidion ellipticum	Wt.	Glochidion malabaricum	Euphorbiaceae	T2	E	1
Glocvelu	Glochidion velutinum	Wt.	NA	Euphorbiaceae	T2	D	0
Glorsupe	Gloriosa superba	L.	NA	Liliaceae	L	E	0
Glycmacr	Glycosmis macrocarpa	Wt.	NA	Rutaceae	T2	E	1
Glycpent	Glycosmis pentaphylla	Corr.	NA	Rutaceae	T1	E	0
Gmelarbo	Gmelina arborea	Roxb.	NA	Verbenaceae	T2	D	0
Gmelasia	Gmelina asiatica	L.	NA	Verbenaceae	T1	D	0
Gnetula	Gnetum ula	Brongn.	NA	Gnetaceae	L	E	0
Gnidglau	Gnidia glauca	(Fresen.) Gilg	NA	Thymelaeaceae	T1	D	0
Gompcori	Gomphandra coriacea	Wt.	NA	Icacinaceae	T1	E	0
Gompserr	Gomphia serrata	(Gaertn.) Kanis	NA	Ochnaceae	T1	E	0
