"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight"
1,7,16,1977,2,"NL","M",32,
2,7,16,1977,3,"NL","M",33,
3,7,16,1977,2,"DM","F",37,
4,7,16,1977,7,"DM","M",36,
5,7,16,1977,3,"DM","M",35,
6,7,16,1977,1,"PF","M",14,
7,7,16,1977,2,"PE","F",,
8,7,16,1977,1,"DM","M",37,
9,7,16,1977,1,"DM","F",34,
10,7,16,1977,6,"PF","F",20,
11,7,16,1977,5,"DS","F",53,
12,7,16,1977,7,"DM","M",38,
13,7,16,1977,3,"DM","M",35,
14,7,16,1977,8,"DM",,,
15,7,16,1977,6,"DM","F",36,
16,7,16,1977,4,"DM","F",36,
17,7,16,1977,3,"DS","F",48,
18,7,16,1977,2,"PP","M",22,
19,7,16,1977,4,"PF",,,
20,7,17,1977,11,"DS","F",48,
21,7,17,1977,14,"DM","F",34,
22,7,17,1977,15,"NL","F",31,
23,7,17,1977,13,"DM","M",36,
24,7,17,1977,13,"SH","M",21,
25,7,17,1977,9,"DM","M",35,
"...",,,,,,,,
35549,,,,,,,,